-15,774465 C1; 78,87232 C2; 25862,45 X6;
-15,818769 C1; 79,09385 C2; 25862,46 X6;
-15,863073 C1; 79,31536 C2; 25862,48 X6;
-15,907378 C1; 79,53689 C2; 25862,49 X6;
-15,95168 C1; 79,7584 C2; 25862,51 X6;
-15,995984 C1; 79,97992 C2; 25862,52 X6;
-16,04029 C1; 80,20144 C2; 25862,54 X6;
-16,08459 C1; 80,42296 C2; 25862,55 X6;
-16,1289 C1; 80,64448 C2; 25862,56 X6;
-16,1732 C1; 80,866 C2; 25862,58 X6;
-16,2175 C1; 81,08751 C2; 25862,59 X6;
-16,26181 C1; 81,30904 C2; 25862,61 X6;
-16,30611 C1; 81,53055 C2; 25862,62 X6;
-16,35041 C1; 81,75206 C2; 25862,63 X6;
-16,39472 C1; 81,97358 C2; 25862,65 X6;
-16,43902 C1; 82,19509 C2; 25862,66 X6;
-16,48332 C1; 82,41661 C2; 25862,68 X6;
-16,52763 C1; 82,63813 C2; 25862,69 X6;
-16,57193 C1; 82,85964 C2; 25862,71 X6;
-16,61623 C1; 83,08116 C2; 25862,72 X6;
-16,66053 C1; 83,30267 C2; 25862,74 X6;
-16,70484 C1; 83,52419 C2; 25862,75 X6;
-16,74914 C1; 83,7457 C2; 25862,76 X6;
-16,79344 C1; 83,96722 C2; 25862,78 X6;
-16,83775 C1; 84,18872 C2; 25862,79 X6;
-16,88205 C1; 84,41023 C2; 25862,81 X6;
-16,92635 C1; 84,63175 C2; 25862,82 X6;
-16,97065 C1; 84,85326 C2; 25862,84 X6;
-17,01496 C1; 85,07478 C2; 25862,85 X6;
-17,05926 C1; 85,29629 C2; 25862,87 X6;
-17,10356 C1; 85,5178 C2; 25862,88 X6;
-17,14786 C1; 85,73932 C2; 25862,9 X6;
-17,19217 C1; 85,96082 C2; 25862,91 X6;
-17,23647 C1; 86,18234 C2; 25862,93 X6;
-17,28077 C1; 86,40385 C2; 25862,94 X6;
-17,32507 C1; 86,62536 C2; 25862,96 X6;
-17,36937 C1; 86,84687 C2; 25862,97 X6;
-17,41368 C1; 87,06838 C2; 25862,99 X6;
-17,45798 C1; 87,28989 C2; 25863,0 X6;
-17,50228 C1; 87,51141 C2; 25863,02 X6;
-17,54658 C1; 87,7329 C2; 25863,03 X6;
-17,59088 C1; 87,95442 C2; 25863,05 X6;
-17,63519 C1; 88,17593 C2; 25863,06 X6;
-17,67949 C1; 88,39744 C2; 25863,08 X6;
-17,72379 C1; 88,61894 C2; 25863,1 X6;
-17,76809 C1; 88,84045 C2; 25863,11 X6;
-17,81239 C1; 89,06197 C2; 25863,13 X6;
-17,8567 C1; 89,28347 C2; 25863,14 X6;
-17,901 C1; 89,50498 C2; 25863,16 X6;
-17,9453 C1; 89,72649 C2; 25863,17 X6;
-17,9896 C1; 89,948 C2; 25863,19 X6;
-18,0339 C1; 90,16949 C2; 25863,2 X6;
-18,0782 C1; 90,391 C2; 25863,22 X6;
-18,1225 C1; 90,61251 C2; 25863,24 X6;
-18,16681 C1; 90,83402 C2; 25863,25 X6;
-18,21111 C1; 91,05553 C2; 25863,27 X6;
-18,2554 C1; 91,27702 C2; 25863,28 X6;
-18,29971 C1; 91,49854 C2; 25863,3 X6;
-18,34401 C1; 91,72005 C2; 25863,31 X6;
-18,38831 C1; 91,94154 C2; 25863,33 X6;
-18,43261 C1; 92,16304 C2; 25863,35 X6;
-18,47691 C1; 92,38456 C2; 25863,36 X6;
-18,52121 C1; 92,60605 C2; 25863,38 X6;
-18,56551 C1; 92,82757 C2; 25863,4 X6;
-18,60981 C1; 93,04905 C2; 25863,41 X6;
-18,65411 C1; 93,27056 C2; 25863,43 X6;
-18,69841 C1; 93,49207 C2; 25863,44 X6;
